tanggal,TAVG,RH_AVG,RR,FF_AVG,sumber_file
2024-09-26,25.8,84.0,56.9,2.0,bmkg_2024_09.xlsx
2024-09-27,26.6,81.0,4.5,2.0,bmkg_2024_09.xlsx
2024-09-28,27.0,82.0,8.6,2.0,bmkg_2024_09.xlsx
2024-09-29,26.4,85.0,43.0,4.0,bmkg_2024_09.xlsx
2024-09-30,27.3,77.0,11.3,2.0,bmkg_2024_09.xlsx
2024-10-01,27.2,77.0,0.0,3.0,bmkg_2024_09.xlsx
2024-10-02,28.2,78.0,0.0,2.0,bmkg_2024_09.xlsx
2024-10-03,27.0,85.0,22.0,2.0,bmkg_2024_09.xlsx
2024-10-04,25.7,86.0,0.0,3.0,bmkg_2024_09.xlsx
2024-10-05,25.6,88.0,89.8,3.0,bmkg_2024_09.xlsx
2024-10-06,27.2,81.0,84.5,2.0,bmkg_2024_09.xlsx
2024-10-07,27.4,74.0,0.0,4.0,bmkg_2024_10.xlsx
2024-10-08,26.6,80.0,0.0,2.0,bmkg_2024_10.xlsx
2024-10-09,27.2,82.0,1.2,2.0,bmkg_2024_10.xlsx
2024-10-10,27.1,79.0,3.5,2.0,bmkg_2024_10.xlsx
2024-10-11,27.5,79.0,14.2,3.0,bmkg_2024_10.xlsx
2024-10-12,28.3,77.0,0.0,3.0,bmkg_2024_10.xlsx
2024-10-13,27.0,84.0,0.0,2.0,bmkg_2024_10.xlsx
2024-10-14,26.0,88.0,65.7,3.0,bmkg_2024_10.xlsx
2024-10-15,25.8,89.0,60.3,2.0,bmkg_2024_10.xlsx
2024-10-16,26.9,78.0,105.6,3.0,bmkg_2024_10.xlsx
2024-10-17,26.2,67.0,0.0,3.0,bmkg_2024_10.xlsx
2024-10-18,27.1,71.0,0.0,2.0,bmkg_2024_10.xlsx
2024-10-19,27.6,74.0,0.0,2.0,bmkg_2024_10.xlsx
2024-10-20,27.8,71.0,0.0,2.0,bmkg_2024_10.xlsx
2024-10-21,27.6,69.0,0.0,3.0,bmkg_2024_10.xlsx
2024-10-22,27.1,73.0,0.0,3.0,bmkg_2024_10.xlsx
2024-10-23,28.7,75.0,0.0,1.0,bmkg_2024_10.xlsx
2024-10-24,28.8,75.0,0.0,2.0,bmkg_2024_10.xlsx
2024-10-25,28.2,79.0,8.3,2.0,bmkg_2024_10.xlsx
2024-10-26,28.1,72.0,0.0,3.0,bmkg_2024_10.xlsx
2024-10-27,28.2,75.0,0.0,2.0,bmkg_2024_10.xlsx
