tanggal,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_max
2019-07-06,33.5,23.0,1.4,13.0,97
2019-07-07,33.7,22.4,3.7,14.2,98
2019-07-08,33.3,21.6,6.6,16.1,95
2019-07-09,31.3,22.9,6.6,9.4,97
2019-07-10,32.5,22.8,0.0,14.8,93
2019-07-11,32.4,20.1,0.0,10.6,96
2019-07-12,32.7,20.2,0.0,12.3,93
2019-07-13,33.3,21.8,0.1,17.9,89
2019-07-14,32.5,21.8,0.1,11.5,89
2019-07-15,32.8,21.8,0.0,15.9,89
2019-07-16,33.3,20.5,0.0,12.6,90
2019-07-17,33.0,22.3,0.0,15.5,76
2019-07-18,34.0,20.4,0.0,19.4,84
2019-07-19,33.5,22.0,0.3,15.6,81
2019-07-20,34.8,23.8,0.7,17.7,83
2019-07-21,34.8,23.6,2.0,13.7,89
2019-07-22,34.1,23.4,1.2,18.8,95
2019-07-23,34.2,21.2,0.0,17.3,93
2019-07-24,34.7,23.5,0.0,20.6,81
2019-07-25,34.7,22.4,0.0,17.6,80
2019-07-26,34.5,21.8,0.0,16.9,85
2019-07-27,34.9,21.8,0.0,18.4,95
2019-07-28,34.2,22.4,0.3,6.7,89
2019-07-29,34.4,22.5,0.0,18.0,91
2019-07-30,34.8,22.3,0.0,20.7,80
2019-07-31,35.2,22.6,0.2,17.7,81
2019-08-01,34.9,23.5,0.0,19.8,78
2019-08-02,35.0,23.0,0.3,16.5,84
2019-08-03,34.2,22.1,0.0,18.3,91
2019-08-04,34.2,22.5,0.8,18.2,77
2019-08-05,33.7,22.5,0.0,18.8,70
2019-08-06,33.2,22.1,0.1,17.3,68
2019-08-07,33.0,21.9,0.0,18.9,77
2019-08-08,34.5,22.2,0.0,18.1,78
2019-08-09,34.8,23.1,0.1,18.6,83
2019-08-10,33.0,22.3,0.0,16.2,87
2019-08-11,33.6,23.8,0.0,14.6,86
2019-08-12,34.0,22.5,0.0,18.6,89
2019-08-13,35.2,22.4,0.1,14.8,89
2019-08-14,34.8,22.9,0.1,20.2,84
2019-08-15,32.4,24.0,0.9,12.0,89
2019-08-16,34.0,23.8,7.0,10.5,97
2019-08-17,33.7,23.0,0.9,9.8,98
2019-08-18,35.6,21.5,0.0,16.0,90
2019-08-19,35.2,21.1,0.0,17.0,82
2019-08-20,34.8,22.4,0.0,19.3,80
2019-08-21,35.7,21.9,0.0,17.2,83
2019-08-22,34.2,23.5,5.0,10.5,94
2019-08-23,34.8,22.2,0.1,17.5,96
2019-08-24,34.3,23.4,0.2,15.0,92
2019-08-25,34.8,22.4,0.1,17.1,83
2019-08-26,34.5,23.0,3.2,12.8,92
2019-08-27,32.3,22.9,9.1,11.9,97
2019-08-28,32.0,22.9,22.7,11.8,97
2019-08-29,32.0,22.7,1.4,9.7,98
2019-08-30,33.7,22.8,0.0,18.2,96
2019-08-31,34.3,21.2,0.0,11.9,89
2019-09-01,34.6,21.1,0.0,15.5,84
2019-09-02,35.4,22.6,0.1,14.6,83
2019-09-03,34.2,23.6,0.3,13.4,96
2019-09-04,35.4,23.5,0.9,11.5,92
2019-09-05,32.0,23.5,3.1,11.2,94
2019-09-06,34.3,22.8,0.1,15.8,97
2019-09-07,34.7,22.4,0.0,17.8,83
2019-09-08,34.9,23.2,0.0,18.9,80
2019-09-09,35.5,23.0,0.3,15.9,83
2019-09-10,37.3,24.1,0.0,15.6,89
2019-09-11,36.2,22.4,0.0,19.2,83
2019-09-12,35.7,22.1,1.2,16.4,83
2019-09-13,34.8,22.9,0.3,21.0,78
